iter	Passed	Remaining
0	149	149533
1	150	75167
2	151	50315
3	152	37901
4	152	30429
5	153	25440
6	154	21891
7	155	19245
8	155	17162
9	156	15501
10	157	14149
11	158	13021
12	158	12058
13	159	11233
14	160	10535
15	161	9915
16	161	9365
17	162	8875
18	163	8441
19	164	8047
20	165	7692
21	165	7367
22	166	7072
23	167	6800
24	167	6549
25	168	6318
26	169	6105
27	170	5907
28	170	5718
29	171	5543
30	172	5379
31	172	5229
32	173	5089
33	174	4958
34	175	4833
35	176	4714
36	176	4604
37	177	4496
38	178	4393
39	179	4296
40	179	4204
41	180	4117
42	181	4032
43	181	3950
44	182	3872
45	183	3799
46	184	3733
47	185	3670
48	185	3605
49	186	3543
50	187	3483
51	188	3427
52	188	3372
53	189	3319
54	190	3267
55	190	3219
56	191	3170
57	192	3124
58	193	3079
59	193	3035
60	194	2993
61	195	2952
62	196	2921
63	197	2885
64	198	2848
65	198	2812
66	199	2777
67	199	2738
68	200	2705
69	201	2673
70	201	2641
71	202	2609
72	203	2580
73	203	2550
74	204	2522
75	205	2495
76	205	2468
77	206	2444
78	207	2420
79	208	2394
80	208	2370
81	209	2347
82	210	2324
83	211	2301
84	211	2277
85	212	2257
86	212	2233
87	213	2212
88	214	2193
89	215	2173
90	215	2155
91	216	2136
92	217	2117
93	217	2099
94	218	2080
95	219	2063
96	220	2048
97	220	2033
98	221	2017
99	222	2001
100	223	1985
101	223	1967
102	224	1952
103	224	1937
104	225	1923
105	226	1909
106	227	1895
107	227	1880
108	228	1867
109	229	1853
110	229	1840
111	230	1826
112	231	1813
113	231	1801
114	232	1790
115	233	1777
116	233	1765
117	234	1753
118	235	1740
119	235	1729
120	236	1717
121	237	1707
122	237	1693
123	238	1682
124	238	1671
125	239	1661
126	240	1651
127	240	1639
128	241	1629
129	241	1618
130	242	1608
131	243	1598
132	243	1588
133	244	1579
134	245	1570
135	245	1561
136	246	1553
137	247	1543
138	247	1535
139	248	1526
140	249	1518
141	249	1509
142	250	1501
143	251	1493
144	251	1484
145	252	1477
146	253	1469
147	254	1462
148	254	1454
149	255	1446
150	255	1438
151	256	1430
152	257	1423
153	257	1416
154	258	1409
155	259	1402
156	259	1395
157	260	1388
158	261	1381
159	261	1374
160	262	1367
161	263	1361
162	263	1354
163	264	1348
164	265	1341
165	265	1334
166	266	1328
167	267	1322
168	267	1316
169	268	1310
170	269	1304
171	269	1298
172	270	1293
173	271	1287
174	271	1281
175	272	1275
176	273	1270
177	273	1264
178	274	1259
179	275	1253
180	275	1246
181	276	1240
182	276	1235
183	277	1229
184	277	1224
185	278	1219
186	279	1214
187	279	1209
188	280	1204
189	281	1199
190	281	1194
191	282	1190
192	283	1185
193	284	1181
194	284	1176
195	285	1171
196	286	1167
197	286	1162
198	287	1157
199	288	1152
200	288	1148
201	289	1143
202	290	1139
203	290	1134
204	291	1130
205	292	1125
206	292	1120
207	293	1116
208	293	1112
209	294	1108
210	295	1104
211	296	1100
212	296	1096
